"customer_num" "arv.time" "wt.time" "st.time" "sp.time" "l.time"
"31" 31 3547.33109531336 2107.82418679715 5655.15528211052 40.2719566784799 5695.427238789
"32" 32 3553.87276956908 2141.55446921992 5695.427238789 175.46849669277 5870.89573548177
"33" 33 3580.68703560255 2290.20869987922 5870.89573548177 135.480358481296 6006.37609396306
"34" 34 3651.11957686118 2355.25651710189 6006.37609396306 69.7419803962111 6076.11807435928
"35" 35 3806.04898159915 2270.06909276012 6076.11807435928 71.4474233130559 6147.56549767233
"36" 36 3812.58391340786 2334.98158426447 6147.56549767233 214.15153690789 6361.71703458022
"37" 37 4142.25361924561 2219.46341533461 6361.71703458022 314.317120633797 6676.03415521402
"38" 38 4486.46539602639 2189.56875918763 6676.03415521402 107.830405198038 6783.86456041206
"39" 39 4538.11816426205 2245.74639615001 6783.86456041206 450.004321351314 7233.86888176337
"40" 40 4589.43927712949 2644.42960463388 7233.86888176337 4.78271551642683 7238.6515972798
"41" 41 4614.19195464053 2624.45964263926 7238.6515972798 86.5877219861703 7325.23931926597
"42" 42 4619.37714293772 2705.86217632825 7325.23931926597 51.6035331205851 7376.84285238655
"43" 43 4737.31784116935 2639.5250112172 7376.84285238655 173.180971734115 7550.02382412067
"44" 44 5075.50523214499 2474.51859197568 7550.02382412067 131.817208016175 7681.84103213684
"45" 45 5166.12796975726 2515.71306237958 7681.84103213684 420.680228411818 8102.52126054866
"46" 46 5210.93544615859 2891.58581439007 8102.52126054866 16.2455378598247 8118.76679840849
"47" 47 5307.46987805324 2811.29692035524 8118.76679840849 34.5281082484871 8153.29490665697
"48" 48 5579.28726312255 2574.00764353442 8153.29490665697 126.418095726409 8279.71300238338
"49" 49 5582.30154981357 2697.41145256982 8279.71300238338 45.6151824910194 8325.3281848744
"50" 50 5585.97032922771 2739.35785564669 8325.3281848744 270.71432790138 8596.04251277578
"51" 51 5837.07101443653 2758.97149833925 8596.04251277578 20.7308737747371 8616.77338655052
"52" 52 5856.46657183712 2760.30681471339 8616.77338655052 36.5830881334841 8653.356474684
"53" 53 6000.88337305375 2652.47310163025 8653.356474684 39.7626606747508 8693.11913535875
"54" 54 6072.64071423002 2620.47842112873 8693.11913535875 629.363606646102 9322.48274200486
"55" 55 6104.83321278729 3217.64952921756 9322.48274200486 9.04699117876589 9331.52973318362
